names
"A'Quarone, Leonard"
"Cairns, Huntington, 1904-1985"
"Calderone, Mary Steichen, 1904-1998"
"Calkins, Gary N. (Gary Nathan), 1869-"
"Call, Arthur Deerin, 1869-1941"
"Callahan, James Morton, 1864-1956"
"Cameron, C. R. (Charles Raymond), 1875-"
"Cameron, J. MacBain."
"Campbell, C. G. (Clarence Gordon), 1868-1956"
"Campbell, J. Mason (James Mason), 1810-1869"
"Campos-Ortiz, Pablo"
"Canby, Henry Seidel, 1878-1961"
"Cannon, Walter B. (Walter Bradford), 1871-1945"
"Canova, Antonio, 1757-1822"
"Cape, Charlotte."
"Capehart, Homer E. (Homer Earl), 1897-1979"
"Capisucchi, Raimundus, 1616-1691"
"Capper, Arthur, 1865-1951"
"Capps, Edward, 1866-1950"
"Cardona, Arthuro G."
"Carey, A. Morris"
"Carey, Francis King, 1858-1944"
"Carey, George G."
"Carey, Reginald"
"Carhart, Henry S. (Henry Smith), 1844-1920"
"Carleton, Will, 1845-1912"
"Carmichael, Ian S. E."
"Carnahan, A. S. J. (Albert Sidney Johnson), 1897-1968"
"Carnegie, Andrew, 1835-1919"
"Carpenter, Mary, 1807-1877"
"Carpenter, William H. (William Henry), 1853-1936"
"Carr, Clark E. (Clark Ezra), 1836-1919"
"Carr, Wilbur J. (Wilbur John), 1870-1942"
"Carriere, Moriz, 1817-1895"
"Carrillo Flores, Antonio"
"Carrington, Henry Beebee, 1824-1912"
"Carroll, Charles, 1702-1782"
"Carroll, Charles, 1702-1782"
"Carroll, Charles, 1723-1783"
"Carroll, Daniel, 1730-1796"
"Carroll, John Lee, 1830-1911"
"Carter, Franklin, 1837-1919"
"Carter, Robert, 1875-1918"
"Carus, Carl Gustav, 1789-1869"
"Carver, Thomas Nixon, 1865-1961"
"Cass, Lewis, 1782-1866"
"Castillo Ledón, Amalia de, 1898-1986"
"Castle, William R. (William Richards), 1878-1963"
"Cather, Willa, 1873-1947"
"Cattell, James McKeen, 1860-1944"
"Cattell, Ware."
"Cayley, Arthur, 1821-1895"
"Chafee, Zechariah, 1885-1957"
"Chafee, Zechariah, 1885-1957"
"Chalkely, H. W."
"Chalmers, George, 1742-1825"
"Chamberlain, Houston Stewart, 1855-1927"
"Chamberlin, Thomas C. (Thomas Chrowder), 1843-1928"
"Chamberlin, William Henry, 1897-1969"
"Chambers, R. W. (Raymond Wilson), 1874-1942"
"Chambers, Robert, 1881-1957"
"Chambers, William L."
"Champion, Edouard, 1882-1938"
"Chamson, André, 1900-1983"
"Chandler, Alfred D. (Alfred Dupont), 1918-2007"
"Chandler, Charles Frederick, 1836-1925"
"Chapin, Roy D. (Roy Dikeman), 1880-1936"
"Chapman, John Jay, 1862-1933"
"Chapman, Ross McC."
"Charles I, King of England, 1600-1649"
"Charles II, King of England, 1630-1685"
"Charles X, King of France, 1757-1836"
"Chase, Salmon P. (Salmon Portland), 1808-1873"
"Chase, Samuel, 1741-1811"
"Chase, Samuel, Jr."
"Chaucer, Geoffrey, -1400"
"Chern, Shiing-Shen, 1911-2004"
"Cherniss, Harold F. (Harold Fredrik), 1904-1987"
"Chesney, Alan M. (Alan Mason), 1888-1964"
"Chessin, Alexandre, 1866-"
"Cheves, Langdon, 1776-1857"
"Chew, Samuel C. (Samuel Claggett), 1888-1960"
"Chézy, Helmina von, 1783-1856"
"Chiang, Kai-shek, 1887-1975"
"Child, C. M., 1869-1954"
"Child, Francis James, 1825-1896"
"Child, Lydia Maria, 1802-1880"
"Chittenden, R. H. (Russell Henry), 1856-1943"
"Christiansen, Rolf"
"Christie, Emerson"
"Christy, Robert."
"Church, William Conant, 1836-1917"
"Churchill, William, 1859-1920"
"Churchman, C. West (Charles West), 1913-2004"
"Ciampini, Giovanni Giusto, 1633-1698"
"Ciardi, John, 1916-1986"
"Cintas, Oscar B., 1887-1957"
"Clark, A. Howard (Alonzo Howard), 1850-1918"
"Clark, Abraham, 1726-1794"
"Clark, J. Reuben, Jr., 1871-1961"
"Clark, John Bates, 1847-1938"
"Clarke, Creston, 1865-1910"
"Clarke, George, 1840-1906"
"Clarke, John S. (John Sleeper), 1833-1899"
