names
"A'Quarone, Leonard"
"Leclerc, Ivor."
"LeConte, Joseph, 1823-1901"
"Lederer, L."
"Lee, Francis Lightfoot, 1734-1797"
"Lee, Muna, 1895-1965"
"Lee, Richard Henry, 1732-1794"
"Lee, Ta-ling."
"Leeds, Roger S."
"Leibman, Morris I."
"Leland, Charles Godfrey, 1824-1903"
"Lemaître, Maurice, 1926-"
"Leopold I, Holy Roman Emperor, 1640-1705"
"Lerner, Max, 1902-1992"
"Leslie, T. E. Cliffe (Thomas Edward Cliffe), 1827-1882"
"Levasseur, Emile, 1828-1911"
"Levay, Z. John."
"Levermore, Charles H. (Charles Herbert), 1856-1927"
"Levi-Civita, Tullio, 1873-1941"
"Levick, Milnes, -1897"
"Lévy-Bruhl, Lucien, 1857-1939"
"Lewinsoh, Marjorie"
"Lewis, Charlton Thomas, 1834-1904"
"Lewis, Clarence Irving, 1883-1964"
"Lewis, Francis, 1713-1803"
"Lewis, Warren H. (Warren Harmon), 1870-1964"
"Liebling, Sally."
"Liebman, Charles Joseph, Jr."
"Light, Vernal Earl, 1892-"
"Lillie, Frank Rattray, 1870-1947"
"Lima, Enid de"
"Lincoln, Abraham, 1809-1865"
"Lincoln, Abraham, 1809-1865"
"Lincoln, Eunice"
"Lincoln, Jonathan Thayer, 1869-1942"
"Lincoln, Leontine, 1846-1923"
"Lincoln, Louise Sears Cobbs."
"Lincoln, Mary Todd, 1818-1882"
"Lindbergh, Anne Morrow, 1906-2001"
"Lindbergh, Charles A. (Charles Augustus), 1902-1974"
"Lindeberg, A. F."
"Lindsay, Samuel McCune, 1869-1960"
"Lindsay, Vachel, 1879-1931"
"Lineburg, Bruce, 1888-"
"Lippmann, Walter, 1889-1974"
"Lisle, Joe."
"Little, Alan M. G. (Alan MacNaughton Gordon)"
"Little, Alan M. G. (Alan MacNaughton Gordon)"
"Little, Clarence C. (Clarence Cook), 1888-1971"
"Littlejohn, Catherine, d. 1791"
"LIttlejohn, Miles, d. 1816"
"Littlewood, John E. (John Edensor), 1885-1977"
"Littmann, Enno, 1875-1958"
"Livingston, Burton E. (Burton Edward), 1875-1948"
"Livingston, Edward, 1764-1836"
"Livingston, Philip, 1716-1778"
"Lloyd, Alfred H. (Alfred Henry), 1864-1927"
"Locklin, Wilbert E., 1920-2006"
"Lodge, Henry Cabot, 1850-1924"
"Lodge, Henry Cabot, Jr., 1902-1985"
"Loeb, Morris, 1863-1912"
"Long, John Harper, 1856-1918"
"Long, John, Colonel"
"Longaker, Richard P."
"Longfellow, Henry Wadsworth, 1807-1882"
"Lord, John, 1810-1894"
"Lorenz, Lincoln, 1895-"
"Lorraine, Lilith, 1894-1967"
"Louis Philippe, King of the French, 1773-1850"
"Lounsbury, Thomas R., 1838-1915"
"Lovett, R. S. (Robert Scott), 1860-1932"
"Low, Seth, 1850-1916"
"Lowell, A. Lawrence (Abbott Lawrence), 1856-1943"
"Lowell, Edward J. (Edward Jackson), 1845-1894"
"Lowell, Josephine Shaw, 1843-1905"
"Lowes, John Livingston, 1867-1945"
"Lowrie, Walter, 1784-1868"
"Luce, Robert Harding, 1900-"
"Ludlow, Fitz Hugh, 1836-1870"
"Lugné-Poe, 1869-1940"
"Luguet, René, 1813-1905"
"Luguet, René, 1813-1905"
"Lutz, Frank Eugene, 1879-1943"
"Lyman, Rufus Ashley, 1875-1957"
"Lynch, Kevin."
"Lynch, Thomas, 1749-1779"
"Lyne, Cassandra Moncure, 1845-1934"
"Lyne, Cassandra Moncure, b. 1875-"
"Lyne, William, 1873-1905"
"Lynn, W. Gardner (William Gardner), 1905-"
"Lystad, Robert."
"Mabbott, Thomas Ollive, 1898-1968"
"Mabie, Hamilton Wright, 1846-1916"
"Macbride, Thomas H. (Thomas Huston), 1848-1934"
"MacDonald, William, 1863-1938"
"MacDougal, Daniel Trembly, 1865-1958"
"Machan, Tibor R."
"Mackay, F. F. (Frank Findley), 1832-1923"
"Mackenna, Stephen, 1872-1934"
"MacKenzie, W. S."
"Maclaurin, Richard C. (Richard Cockburn), 1870-1920"
"MacLean, Donald Alexander, 1886-"
"MacLeish, Archibald, 1892-1982"
"MacLeish, Archibald, 1892-1982"
"MacMurray, John Van Antwerp, 1881-1960"
"MacNeil, Hermon Atkins, 1866-1947"
"Madison, Kenneth Menefee, 1915-"
"Magaña, Gildardo, 1891-1939"
"Magliabechi, Antonio, 1633-1714"
"Magliabechi, Antonio, 1633-1714"
"Maglitsch, Paul S."
"Mahérault, Marie Joseph François, 1795-1879"
"Mahmoud, Samy Pascha"
"Mahon, John (Retailer)"
"Malagodi, Giovanni."
"Malik, Charles Habib, 1906-1987"
"Mallet, Edmond, 1842-1907"
"Mallory, Walter H. (Walter Hampton), 1892-1980"
"Mallory, Walter H. (Walter Hampton), 1892-1980"
"Malone, Edmond, 1741-1812"
"Malone, Inez René Chatain, 1890-"
"Malraux, André, 1901-1976"
"Maluf, N. S. Rustum, 1913-"
"Mann, Heinrich, 1871-1950"
"Mann, Horace, 1796-1859"
"Mann, Klaus, 1906-1949"
"Mann, Thomas C. (Thomas Clifford), 1890-"
"Mann, Thomas, 1875-1955"
"Mansfield, Richard, 1857-1907"
"Mapleson, Lionel S."
"Marbarger, John Porter, 1916-"
"Marbury, W. L."
"Marconi, Guglielmo, marchese, 1874-1937"
"Marcosson, Isaac Frederick, 1876-1961"
"Marcy, William L. (William Learned), 1786-1857"
"Marden, C. Carroll (Charles Carroll), 1867-1932"
"Margules, Max, 1856-1920"
"Maria Theresa, Empress of Austria, 1717-1780"
"Mariani, Paul L."
"Mariatogui, Focion A."
"Marie, de France, active 12th century"
"Mark, E. L. (Edward Laurens), 1847-1946"
"Márquez Sterling, Manuel, 1872-1934"
"Marquis, Don, 1878-1937"
"Marsh, Othniel Charles, 1831-1899"
"Marshall, Charles H."
"Marshall, John, 1755-1835"
"Marshall, John, 1765-1845"
"Marti, Fritz, 1894-"
"Martin, Glenn L."
"Martin, H. Newell (Henry Newell), 1848-1896"
"Martin, John F., Jr."
"Martin, William McChesney"
"Martineau, James, 1805-1900"
"Marzulli, Francis Nicholas, 1917-"
"Masefield, John, 1878-1967"
"Mason, Charles, 1804-1882"
"Mason, James"
"Mason, John Young, 1806-1873"
"Mason, Lowell B. (Lowell Blake), 1893-1983"
"Masters, Edgar Lee, 1868-1950"
"Mathias, Charles McC. (Charles McCurdy), 1922-2010"
"Mathias, Charles McC. (Charles McCurdy), 1922-2010"
"Matthews, Albert, 1860-1946"
"Matthews, Brander, 1852-1929"
"Matthews, H. Freeman, 1899-"
"Maurice, Frederick Denison, 1805-1872"
"Maury, Matthew Fontaine, 1806-1873"
"Maxcy, Virgil, 1785-1844"
"Maxwell, James Clerk, 1831-1879"
"Mayer, Ferdinand L. (Ferdinand Lathrop), 1887-1986"
"Mayfield, John S., 1904-1983"
"Maynard, James Pelham, 1747-1817"
"Maynard, James, 1809-1861"
"Maynard, Juliana Owen, 1774-1846"
"Maynard, Louisa Eastman, 1822-1908"
"Maynard, Mary Hilleary, 1849-1922"
"Maynard, Owen."
"Maynard, Richard David, 1841-1928"
"Maynard, Richard F., 1815-1897"
"Mazaryk, Alice, Doctor"
"McAdams, A. James."
"McBryde, John McLaren, 1870-1956"
"McCarter, P. Kyle (Peter Kyle), 1945-"
"McCarter, P. Kyle (Peter Kyle), 1945-"
"McClure, S. S. (Samuel Sidney), 1857-1949"
"McCollum, Elmer Verner, 1879-"
"McConnell, Frances."
"McConnico, Andrew J."
"McCormick, Cyrus Hall, 1809-1884"
"McCoy, Frank Ross, 1874-1954"
"McCutcheon, George Barr, 1866-1928"
"McEvoy, William J."
"McGarry, WIlliam A."
"McGuire, Constantine E. (Constantine Edward), 1890-1965"
"McIntosh, Roley."
"McKavitt, Matthew A."
"McKay, Vernon."
"McKean, Thomas, 1734-1817"
"McKenna, James G."
"McKerrow, R. B. (Ronald Brunlees), 1872-1940"
"McLane, Louis, 1786-1857"
"McLaughlin, Andrew C. (Andrew Cunningham), 1861-1947"
"McLean, A. (Alexander)"
"McLean, Franklin C. (Franklin Chambers), 1888-"
"McLucas, John L."
"McMaster, Richard H."
"McVicker, James Hubert, 1822-1896"
"Medill, Joseph, 1823-1899"
"Meeker, W. C."
"Meillet, A. (Antoine), 1866-1936"
"Melchers, Gari, 1860-1932"
"Meldola, Raphael, 1849-1915"
"Mendenhall, Thomas C. (Thomas Corwin), 1841-1924"
"Menéndez Pidal, Ramón, 1869-1968"
"Menzel, Adolph, 1815-1905"
"Merchant, Livingston T. (Livingston Tallmadge), 1903-1976"
"Meriwether, Robert Lee, 1890-1958"
"Merrell, George R. (George Robert), 1898-1962"
"Merrill, George P. (George Perkins), 1854-1929"
"Merryman, Micajah, 1750-1842"
"Merryman, Micajah, 1788-1854"
"Merryman, Rachel, 1836-"
"Messersmith, George S. (George Strausser), 1883-1960"
"Messersmith, John K."
"Metcalf, Ella."
"Metz, Charles William, 1889-1975"
"Meyer-Bremen, Adolf, 1904-1982"
"Meyer, Adolf, 1866-1950"
"Meyer, Agnes Elizabeth Ernst, 1887-1970"
"Meyer, Cord, 1920-2001"
"Meyer, Eugene, 1875-1959"
"Meyer, Kuno, 1858-1919"
"Meyer, Max F. (Max Friedrich), 1873-1967"
"Mezes, Sidney Edward, 1863-1931"
"Micco, Fushhatche."
"Michelson, Albert A. (Albert Abraham), 1852-1931"
"Michener, James A. (James Albert), 1907-1997"
"Middleton, Arthur, 1742-1787"
"Miles, L. Wardlaw (Louis Wardlaw), 1873-1944"
"Miller, Helen Mar, 1904-"
"Miller, J. Hillis (Joseph Hillis), 1928-"
"Miller, Perry, 1905-1963"
"Miller, R. D."
"Millikan, Robert Andrews, 1868-1953"
"Mills, Lawrence Heyworth, 1837-1918"
"Mills, Ogden Livingston, 1884-"
"Milner, John, 1752-1826"
"Milton, Charles, 1896-"
"Milton, John, 1608-1674"
"Mims, Edwin, 1872-1959"
"Miner, Dorothy Eugenia"
"Minnich, D. E."
"Minturn, Robert Bowne, 1805-1866"
"Miró, Joan, 1893-1983"
"Misler, Albert D."
"Mistral, Gabriela, 1889-1957"
"Mitchel, John Purroy, 1879-1918"
"Mitchell, I. K."
"Mitchell, James P., 1900-1964"
"Mitchell, Maggie, 1837-1918"
"Mitchell, S. Weir (Silas Weir), 1829-1914"
"Miyajima, Mikinosuke, 1872-1944"
"Molinari, Diego Luis, 1889-1966"
"Molnar, Thomas Steven."
"Moncure, William A., 1803-1862"
"Mondor, Henri, 1885-1962"
"Monnier, Adrienne."
"Monroe, Harriet, 1860-1936"
"Montague, William Pepperell, 1873-1953"
"Monteagle of Brandon, Thomas Spring-Rice, Baron, 1790-1866"
"Moore, Alexander Pollock, 1867-1930"
"Moore, Frank, 1828-1904"
"More, Paul Elmer, 1864-1937"
"Moret, Jean-Marc."
"Morgan, Edwin"
"Morgan, John Tyler, 1824-1907"
"Morgan, Stokely"
"Morley, F. V. (Frank Vigor), 1899-1980"
"Morley, Lilian Janet Bird, approximately 1866-1939"
"Morris, Charles D. (Charles D'Urban), 1827-1886"
"Morris, Robert, 1734-1806"
"Morrison, deLesseps S. (deLesseps Story), 1912-1964"
"Morrow, Dwight W. (Dwight Whitney), 1873-1931"
"Morrow, Jay J. (Jay Johnson), 1870-1937"
"Morse, Anson D. (Anson Daniel), 1846-1916"
"Morse, Harmon Northrop, 1848-1920"
"Morse, Harmon Northrop, 1848-1920"
"Morse, John T., Jr. (John Torrey), 1840-1937"
"Morton, John, approximately 1724-1777"
"Morton, Samuel George, 1799-1851"
"Mosby, John Singleton, 1833-1916"
"Moses, Jacob M."
"Moses, Robert.."
"Moulton, Richard G. (Richard Green), 1849-1924"
"Mühlbach, L. (Luise), 1814-1873"
"Munro, Dana Gardner, 1892-1990"
"Munro, William Bennett, 1875-1957"
"Munroe, Charles E. (Charles Edward), 1849-1938"
"Münsterberg, Hugo, 1863-1916"
"Murfree, Mary Noailles, 1850-1922"
"Murphy, Edgar Gardner, 1869-1913"
"Murphy, Gardner, 1895-1979"
"Murphy, Robert D. (Robert Daniel), 1894-1978"
"Murray, David C., active 19th century"
"Murray, John C."
"Murray, John, 1778-1843"
"Murray, Nicholas."
"Murray, Wallace J."
"Mussolini, Benito, 1883-1945"
"Naddor, Eliezer."
"Nader, Ralph."
"Nadler, Jacob Ernest, 1902-"
"Nash, Ogden, 1902-1971"
"Nash, Ogden, 1902-1971"
"Neal, Herbert V. (Herbert Vincent), 1869-1940"
"Neal, Jack D."
"Neligan, A. R. (Anthony Richard), 1879-"
"Nelson, Knute, 1843-1923"
"Nelson, Thomas, 1738-1789"
"Nelson, Thurlow C. (Thurlow Christian), 1890-1960"
"Nevinson, Henry Woodd, 1856-1941"
"Newbohn, Naneen"
"Newcomb, Simon, 1835-1909"
"Newcombe, Curtis L. (Curtis Lakeman), 1905-"
"Newell, R. H. (Robert Henry), 1836-1901"
"Newman, E. M. (Edward Manuel), 1870-1953"
"Newman, John Henry, 1801-1890"
"Newman, John Henry, 1801-1890"
"Newman, Thomas."
"Newton, Johnnie"
"Nichols, E. L. (Edward Leamington), 1854-1937"
"Nicolay, John G. (John George), 1832-1901"
"Nicoll, Allardyce, 1894-1976"
"Nicolson, Marjorie Hope, 1894-1981"
"Niebuhr, Barthold Georg, 1776-1831"
"Niggli, Paul, 1888-1953"
"Nikulás Ottenson, 1787-1877"
"Nin, Anaïs, 1903-1977"
"Nitobe, Inazō, 1862-1933"
"Nitze, Paul H."
"Nitze, William Albert, 1876-1957"
"Nolan, Dennis R., 1945-"
"Noland, Lowell Evan, 1896-"
"Nordhoff, Charles, 1830-1901"
"Norris, Edgar H. (Edgar Hughes), 1893-"
"Northrop, Cyrus, 1834-1922"
"Northrop, F. S. C. (Filmer Stuart Cuckow), 1893-1992"
"Northrup, Edwin F. (Edwin Fitch), 1866-1940"
"Northrup, Milton Harlow."
"Norton, Charles Eliot, 1827-1908"
"Norweb, R. Henry"
"Nott, Eliphalet, 1773-1866"
"Novotny, Frank"
"Noyes, Alfred, 1880-1958"
"Noyes, Bessie, 1888-"
"Noyes, William A. (William Albert), 1857-1941"
"Nutter, Charles, 1902-"
"Nyburg, Sidney L. (Sidney Lauer), 1880-1957"
"O'Connor, Roderic Ladew, 1921-1982"
"O'Connor, William Douglas, 1832-1889"
"O'Conor, Charles, 1804-1884"
"Ober, Frank Benedict, 1889-"
"Ober, Frank Benedict, 1889-"
"Offit, Avodah K."
"Ogden, Robert C. (Robert Curtis), 1836-1913"
"Okun, Daniel Alexander."
"Olaya Herrera, Enrique Alfredo, 1880-1937"
"Olivier, Warner."
"Olmsted, Frederick Law, 1822-1903"
"Omond, T. S. (Thomas Stewart), 1846-1923"
"Oncken, Wilhelm, 1838-1905"
"Opdyke, George, 1805-1880"
"Oppenheimer, J. Robert, 1904-1967"
"Ord, Edward Otho Cresap, 1818-1883"
"Oreamuno, J. Rafael"
"Orr, Oliver."
"Ortiz Monasterio, Juan"
"Ortiz, Frank V., 1926-"
"Osburn, Raymond C. (Raymond Carroll), 1872-1955"
"Osgood, Samuel, 1812-1880"
"Osterhout, W. J. V. (Winthrop John Van Leuven), 1871-1964"
"Otis, Charles Herbert, 1886-"
"Ottenheimer, Jack L. "
"Overbury, Thomas, Sir, 1581-1613"
"Owen, Richard H., 1777-1858"
"Owen, Richard, 1745-1822"
"Owen, Robert Dale, 1801-1877"
"Owen, Sara."
"Owens, Hamilton, 1888-1967"
"Owst, W. G. (Wilberfoss George), 1861-1928"
"Paca, William, 1740-1799"
"Pace, Donald M. (Donald Metcalf), 1906-"
"Packard, A. S. (Alpheus Spring), 1839-1905"
"Paddock, Gordon"
"Padilla-Nervo, Cecilia"
"Padilla, Ezequiel, 1890-1971"
"Page, Evelyn."
"Page, Thomas Nelson, 1853-1922"
"Page, Walter Hines, 1855-1918"
"Page, Walter Hines, 1855-1918"
"Paine, Robert Treat, 1731-1814"
"Palmer, George Herbert, 1842-1933"
"Panichas, George A., 1930-2010"
"Pantin, Carl Frederick Abel, 1899-1967"
"Parker, George F. (George Frederick), 1847-1928"
"Parker, Horatio W. (Horatio William), 1863-1919"
"Parkman, Francis, 1823-1893"
"Parsons, Theophilus, 1797-1882"
"Partridge, Eric, 1894-1979"
"Pasteur, Louis, 1822-1895"
"Patchin, Robert Halsey, 1881-"
"Patton, Mary"
"Paulhan, Jean, 1884-1968"
"Pauli, Wolfgang, 1900-1958"
"Paullin, Charles Oscar, 1868 or 1869-1944"
"Paulson, Ronald."
"Payne, Fernandus, 1881-1977"
"Peabody, Andrew P. (Andrew Preston), 1811-1893"
"Pearce, Haywood Jefferson, 1871-1943"
"Pearce, Roy Harvey."
"Pearl, Raymond, 1879-1940"
"Pearse, A. S. (Arthur Sperry), 1877-1956"
"Pearson, Edmund Lester, 1880-1937"
"Peattie, Elia Wilkinson, 1862-1935"
"Pedersen, Holger, 1867-1953"
"Pei, Mario, 1901-1978"
"Peirce, Benjamin, 1809-1880"
"Pejovich, Svetozar."
"Pemberton, Clifford."
"Penn, Amos Benkov Kuan-Chin, 1906-"
"Penn, John, 1729-1795"
"Pennell, Elizabeth Robins, 1855-1936"
"Pennell, Joseph, 1857-1926"
"Pennoyer, Paul G., 1920-"
"Penrose, Neville"
"Pepper, William, 1843-1898"
"Perdicaris, G. A."
"Perkins, Sam F."
"Perrault, Charles, 1628-1703"
"Perrizo, Jim"
"Perrizo, Jim."
"Perry, Ralph Barton, 1876-1957"
"Perry, William Stevens, 1832-1898"
"Pershing, John J. (John Joseph), 1860-1948"
"Pershing, John J. (John Joseph), 1860-1948"
"Peterson, Henry, 1818-1891"
"Petrov, Vladimir, 1896-1966"
"Pfluger, Albert, 1907-"
"Pharo, Eugene M."
"Phelps, William Lyon, 1865-1943"
"Phenix, Spencer"
"Philip, Hoffman, 1872-1951"
"Phillips, G."
"Phillips, Mary Elizabeth, 1857-1945"
"Phillips, Ulrich Bonnell, 1877-1934"
"Phillips, Wendell, 1811-1884"
"Phillips, William, 1878-1968"
"Picasso, Pablo, 1881-1973"
"Pichler, Adolf, 1819-1900"
"Picken, Andrew, 1815-1845"
"Pickering, Edward C. (Edward Charles), 1846-1919"
"Pierce, Franklin, 1804-1869"
"Pierpont, John, 1785-1866"
"Pierson, Bernice Frances, 1906-"
"Pike, F. H. (Frank Henry)"
"Pillement, Georges, 1898-1984"
"Pilling, Muriel L."
"Pillsbury, Elinor M."
"Pilon, Juliana Geran."
"Pilon, Roger."
"Pinkney, Joseph."
"Pisani, Alvise."
"Pittenger, W. Norman (William Norman), 1905-1997"
"Pitts, Robert F. (Robert Franklin), 1908-1977"
"Pius IX, Pope, 1792-1878"
Plato
Plato.
"Pleasants, David."
"Poinsett, Joel Roberts, 1779-1851"
"Polk, Frank L. (Frank Lyon), 1871-1943"
"Pollini, John."
"Poole, Gray Johnson."
"Poole, William Frederick, 1821-1894"
"Pope, Alexander, 1688-1744"
"Porter, Katherine Anne, 1890-1980"
"Porter, Noah, 1811-1892"
"Portes Gil, Emilio, 1890-1978"
"Potter, William E., 1905-1988"
"Pottle, Frederick A. (Frederick Albert), 1897-1987"
"Potts, William, landscape architect"
"Pouder, George Henry, 1896-1971"
"Poultney, Evan."
"Poultney, Thomas, Jr."
"Pound, Louise, 1872-1958"
"Powell, Donald."
"Powell, Lyman P. (Lyman Pierson), 1866-1946"
"Powell, Maud, 1867-1920"
"Powers, E. L. (Edward Lawrence), 1915-"
"Pratt, James Bissett, 1875-1944"
"Pratt, Robertson, 1909-1976"
"Pratt, Waldo Selden, 1857-1939"
"Prendergast, Walter"
"Prest, W. (Wilfred), 1907-"
"Preston, Margaret Junkin, 1820-1897"
"Preston, May, 1849-1913"
"Preston, William P."
"Preston, William P., 1811-1880"
"Price, Lucien, 1883-1964"
"Priestley, J. B. (John Boynton), 1894-1984"
"Priestley, J. H. (Joseph Hubert), 1883-1944"
"Pritchard, Donald."
"Pritchett, Henry S. (Henry Smith), 1857-1939"
"Pritchett, W. Kendrick (William Kendrick), 1909-2007"
"Priuli, Lorenzo, 1538-1600"
"Priuli, Matteo."
"Prudden, T. Mitchell (Theophil Mitchell), 1849-1924"
"Puig Molto, Don Isodoro de."
"Pupin, Michael, 1858-1935"
"Pusey, Merlo J. (Merlo John), 1902-1985"
"Putnam, George Haven, 1844-1930"
"Putnam, Herbert, 1861-1955"
"Pyle, Howard, 1853-1911"
"Quidde, Ludwig, 1858-1941"
"Quine, W. V. (Willard Van Orman)"
"Quinn, Arthur Hobson, 1875-1960"
"Quinn, Arthur."
"Quint, Howard H."
"Raabe, Wilhelm, 1831-1910"
"Rachilde, 1860-1953"
"Racine, Jean, 1639-1699"
"Radista, Nina Ferrero."
"Raemaekers, Louis, 1869-1956"
"Raisin, Jacques, 1653-1702"
"Raleigh, Walter Alexander, 1861-1922"
"Ramsay, William, 1852-1916"
"Rand, Edward Kennard, 1871-1945"
"Rand, Frederick Vernon, 1883-1961"
"Randall, Blanchard, 1856-1942"
"Randall, John Herman, 1871-1946"
"Randall, Susan Brune, 1860-1937"
"Randolph, Harold, 1861-1927"
"Randolph, Mary"
"Ransom, John Crowe, 1888-1974"
"Ranum, Orest A."
"Rau, Karl Heinrich, 1792-1870"
"Read, George, 1733-1798"
"Read, John Meredith, 1837-1896"
"Rede, Kenneth."
"Redfield, Alfred C. (Alfred Clarence), 1890-1983"
"Redpath, James, 1833-1891"
"Reel, A. Frank (Adolf Frank)"
"Rees, David T."
"Rees, Richard, 1900-"
"Reese, James, active 1820-1830"
"Reese, Lizette Woodworth, 1856-1935"
"Reese, Lizette Woodworth, 1856-1935"
"Regnery, Henry, 1912-1996"
"Reid, Edith Gittings, 1863-"
"Reimann, Stanley P. (Stanley Philip), 1891-1968"
"Reimold, Orlando S., 1910-1977"
"Reményi, Eduard, 1828-1898"
"Reményi, Eduard, 1828-1898"
"Remey, George Collier, 1841-1928"
"Remey, Gertrude Heim Klemm, 1888-1932"
"Remey, Mary Josephine Mason, 1845-1938"
"Renan, Ernest, 1823-1892"
"Reuther, Walter, 1907-1970"
"Rhodes, James Ford, 1848-1927"
"Rice, Nolan."
"Richards, Theodore W. (Theodore William), 1868-1928"
"Richardson, William B."
"Richmond, John, 1594-1664"
"Richtmyer, F. K. (Floyd Karker), 1881-1939"
"Riddle, John Wallace, 1864-1941"
"Ridgely, Elizabeth Short, 1766-1822"
"Ridgely, Frederick, 1757-1824"
"Ridgely, Greenbury W. (Greenbury William), 1798-1883"
"Riggs, Arthur Stanley, 1879-1952"
"Riggs, John Beverley, 1918-2006"
"Riley, C. F. Curtis."
"Riley, Charles V. (Charles Valentine), 1843-1895"
"Riley, Franklin L. (Franklin Lafayette), 1868-1929"
"Rinehart, Mary Roberts, 1876-1958"
"Ring, Max, 1817-1901"
"Ringgold, Tench."
"Ripley, George, 1802-1880"
"Risacher, F."
"Ritchie, Albert C. (Albert Cabell), 1876-1936"
"Ritchie, Robert Welles, 1879-1942"
"Ritter, Carl, 1779-1859"
"Robb, Joseph."
"Robbins, Warren Delano, 1885-1935"
"Robbins, William Jacob, 1890-"
"Roberts, Paul Craig, 1939-"
"Robertson, David Allan, 1880-1961"
"Robertson, George Croom, 1842-1892"
"Robinson, David M. (David Moore), 1880-1958"
"Robles Pazos, Francisco."
"Robles Pazos, Margara Villegas."
"Robles, Marguerite."
"Robson, Stuart, 1836-1903"
"Rock, Michael, fl. 1852"
"Rockefeller, John D., Jr. (John Davison), 1874-1960"
"Rodgers, Richard, 1902-1979"
"Rodney, Caesar, 1728-1784"
"Roemer, Ferdinand, 1818-1891"
"Rogers, Bruce, 1870-1957"
"Rogers, James Grafton, 1883-1971"
"Rogers, Tommy W."
"Rolfe, W. J. (William James), 1827-1910"
"Roll of Ipsden, Eric Roll, Baron, 1907-2005"
"Romeike, Henry, 1855-1903"
"Romer, F. E. (Frank E.)"
"Romeyn, Nina"
"Romilly, Samuel, 1757-1818"
"Roosevelt, Edith Kermit Carow, 1861-1948"
"Roosevelt, Eleanor, 1884-1962"
"Root, Elihu, 1845-1937"
"Root, Robert K. (Robert Kilburn), 1877-1950"
"Rooy, J. C. van."
"Rose, Alexander Grant, 1913-"
"Rose, Maurice, 1882-1969"
"Rosellini, Albert D. (Albert Dean), 1910-2011"
"Rosen, Maud von, 1902-"
"Rosenauer, Michael, 1884-1971"
"Rosenblatt, Samuel, 1902-"
"Rosenbusch, H. (Harry), 1836-1914"
"Ross, Clyde P. (Clyde Polhemus), 1891-"
"Ross, Edward Alsworth, 1866-1951"
"Ross, George, 1730-1779"
"Ross, Robert, 1766-1814"
"Rosse, William Parsons, Earl of, 1800-1867"
"Rossi, Harald H., 1917-"
"Rothe, Johannes, -1434"
"Rous, Peyton, 1879-1970"
"Roux, Wilhelm, 1850-1924"
"Rowan, Carl T. (Carl Thomas), 1925-2000"
"Rowcliff, G. J., Admiral"
"Rowell, Henry T."
"Rowland, Kate Mason, -1916"
"Royen, J. H. van"
"Royko, Mike, 1932-1997"
"Rubenstein, Carol."
"Rubin, Harry, 1926-"
"Rubinstein, Anton, 1829-1894"
"Rublee, George, 1868-1957"
"Rubottom, R. Richard"
"Rudorff, Adolfus Fridericus."
"Ruml, Beardsley, 1894-1960"
"Rush, Benjamin, 1746-1813"
"Rush, Richard, 1780-1859"
"Russell-Wood, A. J. R., 1939-2010"
"Russell, Bertrand, 1872-1970"
"Russell, Charles, 1893-1957"
"Russell, Dora, 1894-1986"
"Russell, Francis, 1910-1989"
"Russell, George William, 1867-1935"
"Russell, James E. (James Earl), 1864-1945"
"Ruthven, Alexander Grant, 1882-1971"
"Rutledge, Edward, 1749-1800"
"Sabatier, Paul, 1854-1941"
"Sacasa, Juan Bautista, 1874-1946"
"Saintsbury, George, 1845-1933"
"Sainz de la Peña, Arturo F."
"Salaj, Branko"
"Salinas, Pedro, 1892-1951"
"Salinger, J. D. (Jerome David), 1919-2010"
"Salvini, Tommaso, 1829-1915"
"Samaroff Stokowski, Olga, 1882-1948"
"San Miguel, Julian G."
"Sanborn, F. B. (Franklin Benjamin), 1831-1917"
"Sandler, Dorothy L., 1917-1987"
"Sandler, Dorothy L., 1917-1987"
"Sands, William Franklin, 1874-1946"
"Sandys, John Edwin, 1844-1922"
"Sansone, Giovanni, 1888-1979"
"Sargent, Epes, 1813-1880"
"Saroyan, William, 1908-1981"
"Sarton, George, 1884-1956"
"Sarton, May, 1912-1995"
"Satō, Shōsuke, 1856-1939"
"Satō, Shōsuke, 1856-1939"
"Satterlee, Henry Yates, 1843-1908"
"Sauer, Carl Ortwin, 1889-1975"
"Sauerwein, E. Maxwell."
"Sauguet, Henri, 1901-1989"
"Sauret, Émile, 1852-1920"
"Savigny, Friedrich Karl von, 1779-1861"
"Sayce, A. H. (Archibald Henry), 1845-1933"
"Sayre, Jessie Woodrow Wilson, 1887-1933"
"Schaeffer, Asa A. (Asa Arthur), 1883-"
"Schapiro, J. Salwyn (Jacob Salwyn), 1879-1973"
"Schenck, Robert Cumming, 1809-1890"
"Schlamm, William S. (William Siegmund), 1904-1978"
"Schlegel, August Wilhelm von, 1767-1845"
"Schmidt, Johannes, 1843-1901"
"Schmitt, Francis Otto, 1903-1995"
"Schoenfeld, H. F."
"Schott, Charles A. (Charles Anthony), 1826-1901"
"Schouler, James, 1839-1920"
"Schramm, Jacob R. (Jacob Richard), 1885-"
"Schreyer, W. (Werner)"
"Schroeder, Carl, 1848-1935"
"Schulhoff, Julius, 1825-1898"
"Schurman, Jacob Gould, 1854-1942"
"Schurz, Carl, 1829-1906"
"Schuster, Arthur, Sir, 1851-1934"
"Schuyler, George S. (George Samuel), 1895-1977"
"Schwab, Charles M."
"Schwatka, Frederick, 1849-1892"
"Schweitzer, Albert, 1875-1965"
"Schweitzer, Albert, 1875-1965"
